GDP_per_Capita,Healthy_Life_Expectancy,Freedom,Generosity,Unemployment_Rate,Education_Index,Population,Life_Satisfaction,Public_Trust,Mental_Health_Index,Income_Inequality,Public_Health_Expenditure,Political_Stability
6424.34,61.14,0.09,0.39,17.05,0.94,232089131,6.19,0.98,42.48,35.35,6.96,0.64
43703.92,68.24,0.24,0.49,2.73,0.88,550493280,4.35,0.72,75.09,34.5,2.7,0.27
5790.08,77.05,0.25,-0.13,10.82,0.62,571775519,4.75,0.71,84.38,23.98,8.99,0.54
59608.99,68.27,0.89,0.04,2.74,0.83,913961549,7.58,0.45,93.96,30.88,5.95,0.64
27048.9,51.91,0.66,0.33,13.62,0.61,135863417,5.7,0.7,51.37,54.47,9.07,0.87
14404.28,61.54,0.56,-0.1,12.96,0.54,642028272,7.6,0.76,67.07,20.63,8.55,0.97
14181.34,81.36,0.65,0.19,10.51,0.92,459333396,4.97,0.22,61.51,21.84,5.28,0.89
21435.45,84.83,0.36,-0.16,8.8,0.94,933864463,6.22,0.24,41.95,52.46,3.68,0.93
25811.72,57.61,0.63,0.13,17.57,0.54,172327957,5.17,0.59,75.72,31.62,4.84,0.96
45639.55,84.91,0.17,0.37,2.12,0.87,548515888,7.57,0.11,55.09,34.03,6.79,0.81
58451.14,62.38,0.7,-0.0,11.41,0.52,1085840336,6.25,0.55,50.79,43.66,4.88,0.33
17397.4,82.6,0.35,0.09,15.2,0.65,887182012,5.36,0.69,80.59,40.9,3.68,0.0
54764.11,72.49,0.78,0.32,14.29,0.97,343242579,5.76,0.93,57.21,23.32,6.67,0.1
39552.48,78.05,0.02,0.06,9.39,0.94,1162851204,4.68,0.17,59.43,46.47,7.0,0.88
10199.19,63.48,0.95,-0.02,14.91,1.0,906760772,6.79,0.94,92.37,49.06,6.4,0.85
45360.7,57.27,0.71,-0.17,7.58,0.53,954731661,6.08,0.67,67.99,25.14,3.69,0.34
2248.67,79.83,0.65,-0.06,13.92,0.59,1004972240,8.93,0.79,95.57,54.47,6.98,0.6
15473.32,83.79,0.33,0.08,12.5,0.51,71784371,4.58,0.19,77.84,36.67,3.02,0.96
45971.72,82.1,0.38,-0.13,11.16,0.8,822252474,7.26,0.38,71.12,45.89,9.28,0.04
5802.03,64.72,0.35,0.38,8.34,0.79,1019236560,6.45,0.82,52.23,26.12,8.44,0.97
44462.75,74.96,0.28,0.48,10.21,0.88,643665779,7.52,0.24,45.35,24.05,8.3,0.3
36699.22,81.56,0.92,0.16,6.19,0.8,1454837222,5.18,0.44,79.46,47.91,2.78,0.06
57229.75,77.41,0.12,0.41,4.62,0.62,1187972152,7.36,0.37,49.64,24.87,6.13,0.93
27280.59,83.32,0.43,0.02,13.02,0.85,1219818430,6.79,0.41,82.2,49.61,6.81,0.4
45249.23,62.66,0.81,0.27,7.24,0.77,997218092,8.2,0.56,54.39,47.01,9.19,0.67
31214.13,78.99,0.53,0.12,19.73,0.67,503643300,4.26,0.48,88.54,23.77,9.54,0.24
39574.17,74.56,0.11,0.39,2.96,0.95,665786722,8.68,0.8,98.42,42.34,6.6,0.7
23987.94,61.79,0.48,-0.16,18.44,0.91,1060885022,8.17,0.75,97.84,51.33,8.37,0.56
5032.75,80.37,0.47,-0.02,6.1,0.76,900604,6.3,0.99,95.03,22.47,2.49,0.73
20198.03,70.54,0.91,0.12,3.23,0.77,1491240478,6.03,0.64,64.6,23.56,8.82,0.24
11186.74,65.72,0.13,-0.05,11.38,0.52,464176855,6.43,0.15,56.95,37.51,5.57,0.71
30649.25,71.58,0.6,0.16,8.15,0.85,77751495,7.45,0.36,43.64,52.23,4.31,0.12
49208.01,68.84,0.62,0.43,12.67,0.75,1057273344,8.18,0.27,66.5,52.22,4.77,0.62
13198.05,68.95,0.27,0.46,5.82,0.83,1179336906,4.56,0.34,52.92,27.22,8.81,0.17
48974.1,72.85,0.25,0.38,12.92,0.7,1479673495,5.56,0.63,60.71,26.42,5.11,0.94
3619.32,65.57,0.12,0.28,2.04,0.62,582683926,7.92,0.45,96.12,28.77,7.43,0.72
39640.74,57.83,0.76,0.38,10.6,0.81,593111744,8.1,0.09,52.61,48.74,5.14,0.39
6328.8,81.31,0.7,0.45,13.1,0.78,649620998,7.73,0.41,83.52,50.63,2.3,0.6
13218.0,52.96,0.01,-0.0,14.23,0.94,833692025,4.52,0.26,89.48,53.47,6.36,0.41
44590.82,79.3,0.86,0.34,16.1,0.95,670021126,5.76,0.89,74.3,45.91,9.72,0.85
40425.98,82.62,0.26,-0.03,7.73,0.68,930211722,6.93,0.49,50.75,43.67,2.12,0.2
13562.12,59.12,0.18,-0.05,14.48,0.69,937423602,4.29,0.74,95.12,31.43,8.29,0.34
1650.66,77.47,0.75,0.49,17.41,0.51,1292998249,6.97,0.0,94.7,55.58,4.65,0.81
39740.7,64.2,0.14,-0.17,15.82,0.91,79078136,7.21,0.44,52.87,56.78,5.01,0.33
3734.84,71.01,0.2,0.2,9.72,0.54,380429029,6.28,0.44,49.92,28.38,7.77,0.58
50159.36,52.49,0.47,-0.17,19.9,0.75,182288910,7.34,0.08,78.07,23.84,3.18,0.25
16456.56,51.87,0.62,0.17,11.64,0.87,277497072,5.03,0.61,83.38,22.91,3.24,0.64
37349.82,82.79,0.15,0.17,16.9,0.63,253761448,6.13,0.89,52.62,59.82,8.82,0.35
7711.99,58.2,0.8,-0.19,11.89,0.96,798078188,8.92,0.48,57.3,22.13,6.33,0.92
46676.12,60.77,0.09,0.42,3.89,0.51,1442684526,8.64,0.32,47.44,42.75,6.1,0.07
38765.33,73.7,0.46,0.43,15.89,0.66,568952216,7.99,0.09,44.6,45.33,2.67,0.98
46960.32,53.14,0.29,0.34,3.8,0.97,816629192,7.88,0.59,55.76,48.13,7.26,0.4
34891.59,77.46,1.0,0.48,7.07,0.74,761403832,4.68,0.57,90.28,53.26,6.89,0.38
27425.59,57.66,0.21,0.05,4.49,0.91,1428001265,5.8,0.29,62.6,30.41,2.98,0.74
35345.16,61.94,0.08,0.33,16.34,0.81,1369899109,4.65,0.28,62.36,27.77,2.76,0.18
43019.09,72.82,0.47,-0.11,8.26,0.97,1457229654,8.58,0.14,74.5,26.51,9.01,0.62
51509.62,73.44,0.45,0.39,16.91,0.58,479974511,4.32,0.22,78.08,38.24,9.56,0.28
32411.52,71.71,0.05,0.45,8.6,0.69,1126117953,6.77,0.58,95.56,36.59,7.76,0.11
13051.79,58.5,0.42,0.1,5.59,0.59,1431281546,6.39,0.88,83.09,43.04,5.92,0.47
55150.35,77.89,0.46,-0.17,18.3,0.81,1041969868,6.92,0.82,65.07,27.71,5.76,0.74
44962.83,51.86,0.07,-0.17,8.87,0.61,1265332729,4.14,0.51,82.93,58.17,8.13,0.96
1975.83,67.1,0.89,0.27,5.46,0.71,543515342,7.34,0.22,91.12,50.37,3.58,0.29
15246.39,57.83,0.54,-0.19,9.23,0.75,1330553353,7.41,0.79,56.07,38.28,3.78,0.05
10758.65,67.62,0.67,0.26,8.55,0.96,511057231,5.23,0.87,74.95,48.23,2.47,0.2
33554.98,77.14,0.82,0.26,12.81,0.83,721784498,6.87,0.72,48.73,59.3,3.98,0.93
7876.13,50.58,0.07,0.39,5.85,0.64,1292198728,7.81,0.21,47.75,21.95,6.33,0.55
5201.2,54.96,0.2,0.07,6.23,0.79,387926082,5.97,0.62,50.73,31.84,3.54,0.68
8783.86,73.97,0.86,0.11,4.5,0.88,1058453678,7.57,0.88,88.15,20.77,3.16,0.81
50321.0,73.22,0.65,0.5,17.08,0.95,901975,8.23,0.16,56.69,20.19,2.38,0.15
55133.96,74.77,0.16,-0.18,5.9,0.69,973796612,5.47,0.0,80.25,44.05,6.73,0.14
51280.64,71.44,0.32,0.35,12.03,0.87,50138813,7.81,0.77,70.57,25.09,5.63,0.65
27789.26,78.93,0.43,-0.13,14.47,0.94,653026580,8.33,0.32,55.1,46.79,2.7,0.43
16187.26,69.52,0.47,-0.0,6.99,0.55,243205866,4.76,0.24,99.73,53.02,8.16,0.66
24479.48,79.78,0.38,0.15,2.31,0.56,1054608486,5.21,0.24,66.05,41.89,6.56,0.1
45814.15,55.39,0.45,-0.14,12.67,0.62,1291324562,6.15,0.71,83.14,22.27,3.39,0.75
57774.41,63.96,0.39,-0.06,7.02,0.81,1318873194,8.28,0.74,89.93,38.97,5.01,0.75
6991.84,64.59,0.82,0.3,2.52,0.58,832969045,8.38,0.87,57.93,29.69,7.81,0.45
11461.36,73.71,0.32,-0.02,2.32,0.85,1021432175,4.24,0.87,71.28,51.06,4.5,0.02
53456.45,72.05,0.19,0.43,16.86,0.52,369141068,7.84,0.99,83.66,44.35,2.83,0.28
44805.0,60.64,0.82,-0.1,14.37,0.97,738929546,8.03,0.69,89.11,21.95,8.4,0.04
52315.8,55.61,0.93,0.18,2.33,0.56,407400773,8.23,0.77,91.46,26.83,8.72,0.92
3229.2,80.11,0.25,0.25,5.04,0.5,628726198,5.37,0.29,89.62,48.16,7.72,0.02
59046.91,83.69,0.27,0.44,12.49,0.7,1134610760,5.32,0.82,55.56,20.9,2.56,0.11
12546.21,60.59,0.32,0.26,13.88,0.53,1333146007,5.51,0.67,47.08,24.81,6.45,0.27
39182.41,69.68,0.25,0.48,19.18,0.75,466821331,6.49,0.52,40.06,53.89,8.02,0.8
3616.46,72.14,0.81,0.43,19.95,0.85,1066421057,6.14,0.95,84.53,26.02,3.91,0.95
1274.02,80.7,0.91,-0.05,6.33,0.88,1136794689,6.59,0.6,43.78,44.6,7.26,0.95
48051.85,65.4,0.82,-0.05,17.96,0.9,495312623,7.1,0.28,89.49,42.52,3.78,0.26
31918.22,58.49,0.65,0.08,7.2,0.8,259584072,6.41,0.71,86.39,23.17,9.48,0.26
29568.57,58.23,0.86,0.22,15.15,0.69,746546566,6.17,0.3,62.04,51.07,3.35,0.15
42474.97,61.18,0.37,-0.2,16.61,0.57,726391000,7.18,0.0,84.71,25.94,5.3,0.08
48858.22,66.11,0.72,-0.03,10.18,0.97,720804181,7.86,0.08,45.35,59.92,3.73,0.96
36944.14,67.32,0.43,0.37,10.82,0.67,1000833449,8.82,0.97,78.57,41.33,6.05,0.78
41287.4,56.32,0.42,0.04,16.18,0.97,1472633610,7.91,0.59,64.42,44.37,2.31,0.52
3139.04,67.57,0.45,0.19,9.57,0.71,239585901,8.89,0.38,49.84,58.41,4.04,0.66
30814.59,63.14,0.89,0.04,19.46,0.83,1194240877,5.03,0.72,53.38,46.43,4.43,0.76
24837.19,76.8,0.92,-0.06,9.53,0.51,974915003,6.7,0.73,92.59,23.51,8.93,0.32
35732.65,67.88,0.31,-0.18,18.44,0.98,1492016666,4.32,0.15,53.26,55.74,5.11,0.95
21111.72,70.33,0.91,-0.02,2.06,0.85,1196093772,8.3,0.45,74.64,49.94,8.13,0.51
5463.04,73.61,0.33,0.06,6.9,0.5,746189011,6.17,0.97,98.23,22.6,2.03,0.78
7554.74,68.54,0.88,0.01,15.06,0.67,361409866,5.3,0.97,96.65,25.27,9.59,0.49
25957.85,63.92,0.75,0.32,17.93,0.77,1330793566,7.13,0.45,51.25,57.24,9.25,0.11
2413.72,77.52,0.75,-0.14,10.97,0.55,122269089,7.65,0.69,96.41,25.23,7.22,0.94
13877.9,83.37,0.04,0.09,5.13,0.98,310121367,4.01,0.33,96.91,35.09,6.46,0.71
22487.93,67.5,0.74,0.23,12.28,0.72,1165215835,6.73,0.39,90.18,34.58,9.63,0.51
29298.29,55.85,0.26,0.17,4.39,0.93,1086429154,5.67,0.21,90.99,20.44,6.27,0.26
26551.49,61.93,0.52,0.2,5.11,0.79,297099921,6.51,0.56,91.01,50.33,4.02,0.61
18574.7,76.17,0.13,0.0,15.52,0.56,1224889973,8.94,0.76,42.75,44.04,9.52,0.74
56766.2,64.02,0.75,0.14,2.99,0.71,1027062857,6.49,0.28,44.94,51.83,4.43,0.16
5937.18,57.5,0.97,0.22,8.66,0.75,1063947394,6.84,0.48,78.24,44.32,3.91,0.79
34383.26,83.99,0.96,-0.1,13.58,0.83,371057340,4.35,0.4,81.53,55.56,5.96,0.34
3687.46,66.37,0.76,0.27,15.25,0.8,133470835,6.99,0.23,89.7,43.42,5.56,0.78
49334.6,82.92,0.73,0.17,4.78,0.66,956858691,7.42,0.28,86.69,23.97,3.28,0.81
44880.47,75.79,0.81,0.11,10.28,0.94,366437494,5.25,0.96,49.51,39.69,8.65,0.07
56218.43,84.33,0.81,0.47,3.35,0.64,315176660,6.23,0.14,88.44,54.75,2.92,0.2
44423.08,54.85,0.99,-0.05,7.73,0.57,1449091915,6.81,0.08,81.22,40.14,9.57,0.6
8139.93,79.12,0.58,0.14,6.47,0.73,1492778330,4.47,0.96,92.99,23.42,2.25,0.78
53528.55,73.43,0.64,0.43,10.16,0.79,527252725,6.73,0.27,58.56,35.85,8.87,0.66
24678.2,73.32,0.54,0.13,5.37,0.72,1161851174,4.28,0.66,87.46,41.56,2.1,0.61
50090.4,83.55,0.7,0.08,6.1,0.68,255976509,6.78,0.25,81.86,58.13,2.7,0.81
56747.66,78.88,0.73,0.5,19.07,0.7,582970483,6.42,0.24,47.48,25.08,2.96,0.07
22428.16,50.34,0.9,0.23,16.62,0.87,689152127,8.69,0.1,92.34,47.29,8.53,0.34
31076.83,77.76,0.08,-0.19,12.43,0.91,438390055,5.41,0.24,68.06,54.16,5.85,0.41
58531.01,60.68,0.13,0.14,19.82,0.59,1495790077,6.59,0.17,59.14,44.63,2.74,0.52
57635.76,59.36,0.28,0.45,12.16,0.88,83226969,5.01,0.82,78.43,57.13,9.03,0.44
31586.05,51.19,0.21,0.47,7.36,0.95,1211114767,4.53,0.25,70.05,34.83,3.14,0.6
24052.33,67.55,0.54,0.33,19.13,0.68,616162800,5.57,0.57,92.59,31.46,2.16,0.09
4193.93,61.59,0.61,0.35,10.63,0.59,973904801,7.93,0.99,51.58,24.94,3.79,0.71
27035.98,55.56,0.65,0.48,13.46,0.6,1329986015,4.51,0.62,63.47,55.44,6.99,0.51
59361.87,79.49,0.18,0.32,9.78,0.52,1083919570,7.25,0.81,60.6,55.31,6.85,0.36
51006.32,54.59,0.75,0.23,11.05,0.79,508600729,8.95,0.73,82.8,32.31,5.57,0.86
3123.4,81.6,0.42,0.44,2.11,0.83,1497601168,5.87,0.81,66.59,21.05,7.05,0.48
40196.31,61.52,0.25,0.4,5.55,0.93,723019686,5.39,0.8,88.18,37.98,5.87,0.23
3917.4,68.81,0.67,0.22,10.98,0.92,918070274,8.86,0.0,99.97,48.43,8.04,0.82
51234.88,67.93,0.24,-0.1,8.22,0.67,886522607,6.82,0.83,48.2,53.37,2.19,0.66
33676.02,78.09,0.57,0.49,14.82,0.85,694641640,4.32,0.01,42.51,50.94,8.15,0.24
57640.75,53.13,0.2,-0.05,19.86,0.78,890342694,8.03,0.41,64.05,35.85,5.64,0.27
21474.65,69.62,0.25,-0.04,12.54,0.67,336994672,5.17,0.14,49.45,53.6,5.02,0.03
12348.25,76.62,0.57,0.16,18.72,0.77,362099299,5.1,0.41,81.91,45.54,6.34,0.87
24851.5,55.58,0.61,0.04,8.24,0.83,855848878,5.45,0.14,79.72,21.08,9.54,0.52
18540.74,64.43,0.47,0.22,17.51,0.77,1350260145,7.79,0.91,45.19,42.59,4.75,0.51
53196.26,67.77,0.54,0.06,6.75,0.62,874481773,7.64,0.92,73.46,59.43,4.94,0.34
37136.88,83.71,0.22,0.31,8.99,0.52,1309650353,5.72,0.96,43.52,36.85,6.58,0.49
22537.7,66.0,0.89,-0.14,14.49,0.59,1259332265,4.89,0.42,79.53,50.43,4.08,0.25
29008.94,77.12,0.39,0.14,15.22,0.55,441597754,4.76,0.37,87.06,56.62,6.57,0.24
33875.92,81.31,0.49,0.14,7.09,0.73,331634486,7.05,0.28,88.55,49.59,7.44,0.37
22050.98,79.49,0.97,0.29,8.77,0.71,645915224,7.24,0.33,95.39,37.22,7.69,0.06
5441.06,58.39,0.77,0.22,16.74,0.54,87828246,6.31,0.69,82.73,52.26,6.86,0.22
11924.74,50.15,0.48,0.3,19.05,0.68,277607352,8.0,0.08,91.84,54.76,3.33,0.17
26142.94,52.19,0.82,-0.01,15.9,0.73,132538617,4.88,0.77,41.23,22.22,7.51,0.49
28602.44,79.49,0.04,-0.02,14.19,0.79,363509726,8.37,0.63,73.47,27.77,9.62,0.52
57194.62,62.5,0.88,0.44,13.85,0.52,322181866,5.13,0.48,97.92,30.41,8.7,0.22
45839.83,62.51,0.61,0.27,19.04,0.98,743299127,8.62,0.69,98.03,22.33,8.89,0.72
14440.24,60.03,0.58,0.39,19.93,0.69,1042668037,8.77,0.66,71.18,27.65,5.46,0.44
57563.17,74.46,0.03,-0.18,6.53,0.78,323524443,5.33,0.94,97.83,38.41,3.11,0.81
52843.16,54.31,0.9,-0.17,14.88,0.52,306901485,6.94,0.54,45.63,53.71,6.22,0.23
31037.71,70.79,0.47,0.36,3.25,0.74,479126403,6.32,0.41,71.57,48.65,5.64,0.29
57435.14,66.54,0.33,0.04,10.24,0.56,1247796441,7.04,0.93,52.11,53.84,3.44,0.52
7743.19,72.25,0.59,0.17,7.35,0.67,1163766306,5.32,0.71,76.8,28.03,9.97,0.15
49029.06,81.14,0.14,-0.14,2.1,0.9,634918314,5.63,0.5,86.42,29.98,7.59,0.51
56331.81,84.38,0.41,0.01,6.58,0.79,384008324,4.52,0.57,93.54,21.44,8.13,0.3
56706.29,72.07,0.11,0.01,10.76,0.81,920275136,8.11,0.89,45.02,45.44,7.2,0.03
31428.44,74.34,0.64,0.38,4.41,0.81,673933252,7.98,0.15,56.88,33.01,7.93,0.51
46138.74,63.11,0.04,0.13,5.38,0.62,492029552,7.54,0.88,68.34,32.52,2.54,0.25
9263.81,71.16,0.77,0.17,14.37,0.78,77310862,7.9,0.32,84.56,27.39,7.0,0.43
10495.28,51.51,0.34,0.06,11.32,0.88,1122884428,6.48,0.67,90.62,50.0,7.81,0.57
27845.65,60.39,0.87,-0.06,16.68,0.91,590297110,4.02,0.66,66.66,26.55,7.99,0.62
7473.7,50.46,0.4,0.24,15.39,0.5,741147923,8.44,0.39,95.68,31.31,8.13,0.09
41294.9,64.14,0.19,0.19,18.43,0.56,1147148283,5.39,0.41,42.16,52.45,3.84,0.84
38311.65,61.43,0.38,0.03,11.41,0.62,733109370,6.31,0.62,67.26,57.9,7.67,0.84
26471.3,61.44,0.24,0.34,4.26,0.91,1264650432,5.62,0.4,76.05,30.68,3.04,0.93
15422.68,51.86,0.4,0.22,3.42,0.87,441478217,5.15,0.94,87.48,41.42,7.33,0.36
20569.72,79.19,0.59,0.12,2.69,0.57,1049224501,8.4,0.9,48.26,58.1,7.59,0.9
13653.04,79.1,0.72,-0.12,18.99,0.84,478812555,7.94,0.42,57.06,35.29,5.66,0.55
9524.07,73.59,0.78,0.38,12.4,0.6,1121270995,4.13,0.46,60.75,24.87,6.25,0.38
44389.43,67.45,0.06,0.17,6.71,0.51,1484973376,8.29,0.38,64.6,35.14,6.76,0.24
46889.7,52.22,0.53,-0.2,3.75,0.91,92180784,6.81,0.22,48.25,48.57,9.48,0.9
22538.03,84.61,0.52,0.02,5.82,0.54,1264071251,5.23,0.9,55.99,59.6,6.13,0.99
50748.75,61.66,0.34,-0.05,5.05,0.81,1206081464,8.56,0.31,94.13,43.32,5.46,0.82
59772.66,75.79,0.13,0.05,13.12,0.72,335226399,6.77,0.26,58.88,56.07,9.73,0.73
43191.23,68.04,0.44,0.45,17.46,0.53,352532372,7.99,0.79,80.57,44.21,9.05,0.67
58350.48,67.55,0.53,0.29,9.54,0.95,995056376,5.38,0.23,81.42,20.62,7.25,0.58
3241.87,80.47,0.6,0.39,6.44,0.59,988812671,7.53,0.56,78.09,30.21,7.42,0.47
39305.32,54.21,0.59,-0.15,11.82,0.66,1192235772,6.71,0.06,49.41,46.21,9.97,0.17
23154.34,70.61,0.99,-0.13,9.48,0.73,1391331663,4.09,0.41,93.34,47.78,4.74,0.63
15443.83,84.5,0.09,0.24,6.03,0.87,39100931,6.1,0.22,65.18,23.01,8.56,0.87
14991.74,61.79,0.68,0.19,17.93,0.65,1424749874,4.66,0.06,86.84,22.15,6.57,0.35
4273.95,62.8,0.39,0.38,18.41,0.63,1449970698,6.83,0.18,58.4,48.96,9.55,0.78
29601.91,61.05,0.86,-0.07,18.13,0.63,1440776401,6.25,0.76,59.92,51.99,3.53,0.19
16000.89,69.91,0.39,0.28,5.71,0.93,600834744,4.68,0.37,61.95,40.99,2.43,0.07
59384.32,73.0,0.65,0.07,8.56,0.73,898571998,5.36,0.28,50.02,47.28,2.81,0.06
19291.29,59.51,0.96,0.2,7.76,0.85,159247497,5.95,0.81,57.21,21.58,8.43,0.47
6678.78,60.62,0.77,-0.04,15.99,0.91,247060321,4.48,0.3,59.92,38.08,7.32,0.65
4684.51,53.57,0.07,-0.15,12.55,0.91,413044197,5.74,0.42,70.34,30.51,3.98,0.84
45585.22,73.3,0.97,0.21,3.89,0.62,682501310,8.05,0.16,44.16,21.25,7.43,0.37
40606.91,82.18,0.08,-0.15,15.3,0.58,788005006,6.92,0.62,75.71,44.48,7.27,0.42
8987.34,84.24,0.03,0.39,18.0,0.86,952297287,4.33,0.88,89.01,30.81,4.87,0.1
39574.47,69.32,0.35,0.23,15.01,0.56,725416283,6.85,0.16,90.45,39.75,4.59,0.18
18460.28,84.29,0.39,0.43,6.36,0.96,514831274,8.74,0.47,53.18,53.95,8.37,0.26
49085.46,58.8,0.84,0.24,11.59,0.77,393422626,5.71,0.09,45.09,58.01,4.74,0.56
7272.04,66.44,0.21,0.45,10.01,0.72,360079966,7.79,0.4,78.0,46.62,6.49,0.24
10715.55,74.09,0.97,-0.04,5.78,0.94,807241134,6.04,0.07,44.05,47.81,5.75,0.32
9276.82,80.08,0.69,0.17,4.43,0.76,102786942,8.2,0.91,73.13,56.13,2.87,0.57
46075.83,51.81,0.28,0.39,15.48,0.65,1423418504,6.63,0.44,88.25,53.89,9.85,0.02
16486.58,64.58,0.25,0.34,3.93,0.55,362827462,5.2,0.25,62.17,31.69,9.26,0.18
52298.09,81.36,0.44,-0.15,16.95,0.65,948753088,7.05,0.11,98.71,46.9,4.92,0.87
43860.04,52.17,0.38,0.27,4.82,0.53,1418243945,7.49,0.72,55.36,25.84,3.87,0.74
47829.33,67.14,0.79,0.2,13.28,0.72,1008228905,7.89,0.39,46.56,42.59,7.6,0.73
56497.56,71.14,0.34,0.36,12.54,0.71,312935232,5.53,0.35,40.66,53.39,8.86,0.68
46557.0,51.5,0.54,0.21,13.38,0.86,191305778,4.85,0.24,91.67,49.33,3.41,0.83
17640.5,79.77,0.89,0.19,11.89,0.53,1278376170,7.65,0.79,90.88,58.26,4.89,0.57
33089.73,63.5,0.42,-0.19,18.8,0.8,1249080448,8.31,0.85,56.12,53.94,8.22,0.66
21443.21,60.48,0.04,-0.16,11.01,0.95,1454333426,6.45,0.9,81.97,23.91,4.73,0.71
8729.86,79.9,0.77,0.03,3.35,0.84,776989624,6.33,0.6,93.76,42.27,9.32,0.19
12688.15,81.64,0.8,0.37,17.57,0.62,1092681883,6.83,0.47,51.27,40.63,8.55,0.94
34404.97,52.35,0.75,0.43,2.23,0.52,486387403,6.51,0.5,57.34,47.35,7.52,0.95
40087.32,79.3,0.65,0.04,12.71,0.87,35523735,5.79,0.63,80.46,42.22,3.68,0.21
33851.1,77.4,0.78,0.05,8.5,0.77,671852697,5.97,0.44,73.37,38.18,4.62,0.16
38406.05,67.62,0.14,0.48,3.57,0.77,249061606,7.03,0.79,66.44,46.25,7.68,0.88
12945.58,78.78,0.71,0.1,17.8,0.72,1320497838,8.39,0.42,50.44,26.38,5.7,0.01
9843.76,67.31,0.51,-0.05,11.08,0.78,1202914005,5.16,0.63,83.84,48.37,9.47,0.0
19372.93,57.27,0.1,-0.12,11.73,0.9,112171486,7.24,0.9,71.83,38.64,6.17,0.48
19246.86,53.76,0.96,0.44,11.83,0.69,429290455,8.42,0.25,62.02,33.92,9.95,0.13
11355.18,50.09,0.27,0.41,2.22,0.73,1203958694,8.91,0.9,68.66,51.74,9.32,0.94
34569.23,64.3,0.18,-0.15,2.7,0.64,662020466,8.04,0.32,67.44,54.98,6.48,0.56
27839.49,57.66,0.37,0.22,11.57,0.57,41265294,4.25,0.51,97.77,32.67,7.54,0.83
23867.32,81.66,0.82,0.45,16.37,0.89,72087813,5.48,0.18,89.17,46.7,8.92,0.34
59864.08,69.65,0.75,-0.15,6.07,0.83,257432463,5.21,0.31,83.71,48.57,6.69,0.83
9813.69,57.16,0.71,0.37,2.89,0.82,1311280965,8.18,0.54,91.69,59.72,6.18,0.84
30801.89,62.91,0.09,0.09,9.19,0.73,991807660,5.36,0.07,86.6,57.77,6.61,0.94
23312.14,66.64,0.47,0.07,4.39,0.9,245626517,8.56,0.3,66.06,24.93,3.77,0.45
6564.45,75.89,0.95,0.14,12.19,0.67,1195193184,5.12,0.34,49.28,57.25,3.49,0.72
33962.21,78.3,0.68,0.03,8.25,0.68,19320376,5.46,0.2,55.34,57.12,4.66,0.69
55120.89,50.64,0.6,0.19,9.39,0.65,783705436,6.62,0.43,53.32,56.88,9.19,0.2
34196.59,60.25,0.92,-0.04,8.12,0.57,599790454,5.73,0.05,90.92,53.57,4.36,0.74
3894.16,64.29,0.45,-0.02,13.51,0.81,189340853,8.91,0.88,48.81,51.24,3.61,0.36
58484.74,77.04,0.09,-0.06,5.83,0.96,5145237,7.24,0.98,58.97,28.53,7.16,0.82
53367.75,76.59,0.1,-0.19,5.21,0.75,262081596,6.45,0.41,62.53,27.59,3.67,0.3
49400.36,77.3,0.67,-0.04,8.17,0.85,129774426,5.29,0.45,68.79,40.87,6.54,0.51
7052.49,77.1,0.78,-0.13,8.41,0.52,66514443,7.19,0.58,85.93,35.49,6.15,0.16
21793.43,53.93,0.76,0.07,8.88,0.73,1414252550,6.05,0.48,42.7,59.45,3.85,0.16
9948.35,53.75,0.56,0.12,19.15,0.88,1182894590,4.07,0.62,90.92,59.3,9.35,0.67
51121.54,78.69,0.26,-0.02,5.97,0.97,706545677,7.82,0.39,60.04,50.59,7.35,0.15
23871.93,67.17,0.9,0.03,9.8,0.65,1009275217,7.6,0.63,74.61,48.37,6.12,0.38
47576.87,56.3,0.33,0.2,2.34,0.59,754282401,6.7,0.5,96.15,37.57,9.14,0.2
41085.1,70.5,0.84,-0.17,13.8,0.64,414183653,5.55,0.36,88.76,47.39,2.93,0.49
39149.24,74.47,0.85,-0.05,10.74,0.58,1029480740,4.84,0.79,84.38,42.38,3.88,0.12
4302.84,50.09,0.27,0.32,11.72,0.8,74000253,5.73,0.82,51.98,47.13,8.4,0.17
10766.58,58.13,0.29,0.36,6.94,0.58,779073184,4.51,0.85,57.13,52.32,8.07,0.03
47121.61,83.91,0.36,-0.09,16.08,0.95,621200454,5.76,0.77,62.83,47.42,8.07,0.46
42441.37,78.5,0.28,0.29,7.27,0.94,916396279,8.55,0.28,64.74,21.22,2.44,0.83
40730.1,72.16,0.59,0.31,10.83,0.84,697198069,4.19,0.23,45.71,37.98,6.15,0.08
6383.78,72.49,0.35,-0.07,6.69,0.72,1331950585,5.25,0.85,57.35,52.97,2.05,0.06
8800.48,65.17,0.6,0.43,11.43,0.85,1100260224,7.05,1.0,65.77,41.18,6.45,0.66
25068.19,56.56,0.15,0.07,19.77,0.62,433595218,5.71,0.29,93.75,41.15,4.03,0.14
48037.13,60.09,0.61,0.31,9.99,0.87,1407060300,8.22,0.36,70.62,41.09,9.48,0.09
36912.64,54.69,0.64,-0.2,7.85,0.98,324328035,4.29,0.7,63.52,55.84,6.02,0.39
10936.07,60.01,0.5,0.22,9.13,0.5,1480425263,7.86,0.74,71.56,23.24,2.14,0.43
